Text,Sentiment
numbness set weight loneliness grows heavier,negative
euphoria live music concert star,positive
midst soccer match unexpected goal creates moment despair player teammate console encourage,negative
excitement building surprise birthday party,neutral
The result was disappointing,negative
sailing azure water maldives wave whisper serenity paradise,positive
lost labyrinth thought confusion casting shadow quest clarity,negative
weightlifter failed attempt personal record result frustration highlighting challenging nature pushing physical limit,negative
melancholy companion painting canvas life brushstrokes wistful yearning,negative
The result was disappointing,negative
I really dislike this,negative
gymnast unexpected fall routine spark wave sympathy audience highlighting vulnerability sport,neutral
enthusiasm new artistic project work,positive
disappointed service local restaurant,negative
The food was delicious,positive
celebrating friend birthday tonight,neutral
anxiety grip chest relentless grip thought,negative
weekend road trip explore scenic view,neutral
harmony resonates musician play melody unity togetherness,neutral
fear unknown keeping night,negative
The event was unpleasant,negative
compassion shown act kindness community,positive
This made my day,positive
surprise visit old friend brought tear joy,neutral
arousal excitement upcoming festival,neutral
overwhelmed support received personal challenge,neutral
devastated storm betrayal wreckage trust scattered like debris heart torn wind broken promise,negative
contentment simplicity home cooked meal,positive
The event was amazing,positive
skiing slope swiss alp turn dance majesty snow capped peak,neutral
I regret my decision,negative
tenderness heartfelt message loved one,positive
feeling sense emptiness close friend move away farewell always sad,negative
embracing beauty imperfection finding acceptance mosaic life unpredictable art,neutral
carnival emotion rollercoaster thrill sends heart wild ride,positive
euphoria flood final puzzle piece fit perfectly,positive
boredom lingers stagnant pool indifference,negative
anticipating thrilling adventure coming week,neutral
realm fashion designer unveils collection tell story blending innovation tradition runway creativity,neutral
tapestry despair thread hope unravel leaving portrait sorrow,negative
tear currency grief spent marketplace lost love longing,negative
The news made me sad,negative
feeling bit weather today,neutral
pride achieving personal milestone career progression,positive
successfully avoided eye contact crush hallway mission accomplished teencrush stealthmode,positive
gratitude supportive community around,positive
midst soccer match unexpected goal creates moment despair player teammate console encourage,negative
decided learn new instrument day one still trying figure hold musicnovice learningjourney,neutral
walking great wall china step testament ancient engineering marvel,neutral
awe struck breathtaking sunrise mountain,positive
adopted cute furry friend,neutral
caught latest fashion trend planning shopping spree fashionista trendyteen,neutral
whisper lost love linger attic heart forgotten not erased,neutral
I am disappointed with the result,negative
shattered echo shattered dream fragment hope scattered,negative
bitter experience customer service department,negative
I am upset with the service,negative
organized community painting event turning blank canvas masterpiece shared creativity paintingevent seniorartist,neutral
amidst page captivating mystery novel reader unravels clue secret experiencing thrilling journey suspense revelation,neutral
The weather is cloudy today,neutral
wandering desert loneliness step heavy sigh mirage connection shimmering never materializing,negative
curiosity driving exploration unknown seeker knowledge uncharted territory,neutral
witnessing record breaking marathon spectator filled awe admiration endurance dedication runner,positive
riding adrenaline rush rollercoaster wild twist,neutral
The project ended in failure,negative
encountered mean spirited comment online dealing online hate never easy,negative
inspired resilience lone tree standing tall storm,positive
hosted memory lane evening old friend reminiscing adventure shaped life memorylane seniorreminiscing,neutral
realm literature captivating novel transport reader distant land weaving tapestry imagination escape,neutral
exploring city hidden gem,neutral
feeling sense fulfillment helping others,positive
attending school talent show support classmate applauding diverse talent display,neutral
like comet inspiration streaking sky creativity leaving trail brilliance,positive
The lecture discussed machine learning,neutral
loneliness echo empty space yearning connection,negative
coding new project enthusiasm,positive
planning garden makeover spring,neutral
exploring new hobby photography free time capturing moment lens,neutral
midst soccer match unexpected goal creates moment despair player teammate console encourage,negative
feeling accomplished productive day,positive
political discussion heating timeline,neutral
survived challenging physic exam equation not defeat,negative
The assignment is due next week,neutral
This ruined my day,negative
rediscovered joy cooking traditional family recipe kitchen place cherished memory familyrecipes seniorcooking,positive
laughter echo air chorus happiness lift spirit higher,positive
navigating labyrinth thought confusion constant companion maze idea,neutral
The meeting starts at five today,neutral
soul adrift sea solitude wave loneliness crashing relentlessly,negative
michael jackson tribute show moonwalking hit celebration king pop,neutral
complex puzzle life leaf state perpetual confusion seeking answer chaos,neutral
discovered new book series spent whole night reading need sleep anyway bookwormlife latenightreading,neutral
overflowing joy cup laughter shared friend moment cherished,positive
I loved every moment,positive
garden contentment bloom whisper tale inner peace joy,positive
exploring new part time job opportunity gaining work experience career development progress,neutral
survived challenging physic exam equation not defeat,negative
The failure was frustrating,negative
crowd taylor swift concert lyric love story create enchanting fairy tale,positive
enthusiasm new artistic project work,positive
bonding friend latest k pop sensation fangirling finest,neutral
cricket championship nail biting finish leaf fan edge seat experiencing rollercoaster emotion,neutral
drifting day air nonchalance indifferent triviality life,neutral
crafting intricate friendship bracelet whole squad friendship level expert weaver,neutral
contentment midst family gathering filled laughter,positive
haunted regret ghost past lingers relentlessly,negative
navigating sea hope sailing towards sunrise possibility confident ship positive anticipation,positive
envious eye fixated gilded prize heartache fueled painful desire possession seem forever reach,negative
navigating sea hope sailing towards sunrise possibility confident ship positive anticipation,positive
This experience was awful,negative
feeling sense fulfillment reaching milestone,positive
feeling accomplished productive day,positive
The experience was wonderful,positive
excitement weekend road trip explore new place,neutral
