Text,Sentiment,Timestamp,Platform,Hashtags,Country,Year,Month,Day,Hour
enjoying beautiful day park,positive,2023-01-15 12:30:00, Twitter  , #Nature #Park                            , USA      ,2023,1,15,12
traffic terrible morning,negative,2023-01-15 08:45:00, Twitter  , #Traffic #Morning                        , Canada   ,2023,1,15,8
finished amazing workout,positive,2023-01-15 15:45:00, Instagram , #Fitness #Workout                        , USA        ,2023,1,15,15
excited upcoming weekend getaway,positive,2023-01-15 18:20:00, Facebook , #Travel #Adventure                       , UK       ,2023,1,15,18
trying new recipe dinner tonight,neutral,2023-01-15 19:55:00, Instagram , #Cooking #Food                           , Australia ,2023,1,15,19
feeling grateful little thing life,positive,2023-01-16 09:10:00, Twitter  , #Gratitude #PositiveVibes              , India    ,2023,1,16,9
rainy day call cozy blanket hot cocoa,positive,2023-01-16 14:45:00, Facebook , #RainyDays #Cozy                         , Canada   ,2023,1,16,14
new movie release must watch,positive,2023-01-16 19:30:00, Instagram , #MovieNight #MustWatch                  , USA    ,2023,1,16,19
political discussion heating timeline,negative,2023-01-17 08:00:00, Twitter  , #Politics #Debate                       , USA      ,2023,1,17,8
missing summer vibe beach day,neutral,2023-01-17 12:20:00, Facebook , #Summer #BeachDays                      , Australia ,2023,1,17,12
published new blog post check,positive,2023-01-17 15:15:00, Instagram , #Blogging #NewPost                      ,USA,2023,1,17,15
feeling bit weather today,negative,2023-01-18 10:30:00, Twitter  , #SickDay #Health                        , Canada   ,2023,1,18,10
exploring city hidden gem,positive,2023-01-18 14:50:00, Facebook , #CityExplore #HiddenGems                , UK       ,2023,1,18,14
new year new fitness goal,positive,2023-01-18 18:00:00, Instagram , #NewYear #FitnessGoals                  , USA        ,2023,1,18,18
technology changing way live,neutral,2023-01-19 09:45:00, Twitter  , #Tech #Innovation                       , India    ,2023,1,19,9
reflecting past looking ahead,positive,2023-01-19 13:20:00, Facebook , #Reflection #Future                     , USA      ,2023,1,19,13
adopted cute furry friend,positive,2023-01-19 17:10:00, Instagram , #PetAdoption #FurryFriend               , Canada    ,2023,1,19,17
late night gaming session friend,positive,2023-01-20 00:05:00, Twitter  , #Gaming #LateNight                      , UK       ,2023,1,20,0
attending virtual conference ai,neutral,2023-01-20 11:30:00, Facebook , #AI #TechConference                     ,USA,2023,1,20,11
winter blue got feeling low,negative,2023-01-20 15:15:00, Instagram , #WinterBlues #Mood                      , USA       ,2023,1,20,15
